SURVEY_RESPONDENT_ID,LABEL,RATIONALE
c7b63ae8-51d4-4f64-8169-b9e92a5a4175,neg,The respondent views AI as broadly harmful citing concerns about increasing wealth gaps job elimination climate impacts on vulnerable communities and widening digital literacy gaps while advocating for strong government regulation and restrictions on AI companies.
93462d98-4479-4e6b-9583-83f1b639eb45,mix,The respondent expresses mixed views acknowledging both potential benefits of AI (especially non-generative forms improving efficiency) and significant concerns about current deployment while advocating for measured government regulation rather than opposing or strongly supporting AI development overall.
71ccc7b9-9496-4327-bc78-39f32f48347e,neg,The respondent views AI as causing massive unemployment wealth consolidation social collapse and the breakdown of capitalism advocating for government nationalization of AI and other industries to prevent these harmful outcomes.
51ce719b-e06f-41af-b9db-5286b655bf4f,pos,The respondent views AI as broadly beneficial expecting productivity gains and improvements across multiple sectors supports AI development to replace repetitive human tasks and advocates for government policies that facilitate AI adoption while managing transition effects rather than restricting AI development.
76ab3a2f-ae44-4459-88d3-70375f224b7e,pos,The respondent views AI as having immense positive potential for job creation and democratization advocates for funding AI development for good purposes and opposes restrictions on AI use while only seeking oversight of corporate misuse rather than opposing AI technology itself.
947cd492-3f7b-496d-aeb5-235ffefd9bb9,mix,The respondent expresses mixed views on AI benefits and risks acknowledging both productivity gains and concerns about inequality and unemployment while advocating for balanced regulation rather than taking a clear pro- or anti-AI stance.
f34a115c-a529-47bb-9647-c4e83f02d13c,mix,The respondent values AI technology personally and acknowledges its economic benefits but strongly opposes current implementation patterns and calls for aggressive government regulation to address inequality and worker displacement concerns.
557e0661-1d28-455a-b98e-f3e3dfd8e062,pos,The respondent views AI as beneficial and transformative like historical technologies advocates for embracing rather than restricting it and focuses on ensuring equitable distribution of benefits rather than opposing AI development.
87d6c089-0514-4abb-af1a-07b3145be7c5,mix,The respondent acknowledges AI transformative potential and benefits while emphasizing significant risks and the critical need for comprehensive government oversight expressing neither clear support nor opposition to AI development itself.
fe230ac7-f2e7-40eb-8583-76f4ad465acb,neg,The respondent views AI as fundamentally harmful across multiple dimensions (economic artistic environmental) and explicitly calls for the AI industry to be 'regulated into nonexistence' demonstrating a clear anti-AI stance.
e8a59dbb-908e-443e-98ed-8bfdd9f3c097,neg,The respondent views AI as entirely harmful with 'no upside' describing it as destroying jobs stealing copyrighted work and damaging entire industries while calling for extensive government regulation and accountability measures.
21b2fca4-b38e-4588-9d3f-c15c761b9e2e,pos,The respondent consistently portrays AI as a powerful driver of economic growth productivity and personal fulfillment while advocating for minimal government regulation and trusting private sector leadership in AI development.
14286849-f47e-4ade-9dcb-a0aff3170917,neg,The respondent expresses significant concerns about AI economic impacts (wealth concentration job displacement outpacing replacement) negative effects on their work (reduced trust analytical errors cognitive decline) and questions whether AI benefits are worth the trade-offs indicating an overall view that AI is more harmful than beneficial.
02e4c310-5303-4f4c-8db5-54e63864ce3f,pos,The respondent views AI as beneficial technology that can reduce human labor requirements and create economic opportunities advocating for policies to harness AI gains rather than restrict its development.
231d6025-b473-40ed-a0e9-4485d01cbebf,mix,The respondent acknowledges both significant benefits (productivity gains force multiplier effects) and serious risks (job displacement concentration of power technical limitations) of AI advocating for targeted regulation and workforce support rather than opposing or embracing AI development broadly.
